sentence,type,object number,formatted sentence,selected option,time,is_match
add item,camelCase,18,addItem,addItem,4.102,True
calculate sum,camelCase,18,calculateSum,calculateSum,5.047,True
find user,camelCase,18,findUser,findUser,3.639,True
send email,camelCase,18,sendEmail,sendEmail,4.437,True
calculate sum,kebab,18,calculate-sum,calculate-sum,13.375,True
find user,kebab,18,find-user,find-user,5.137,True
find user,camelCase,18,findUser,findUser,5.539,True
create account,camelCase,18,createAccount,createAccount,5.448,True
update record,kebab,18,update-record,update-record,5.317,True
delete user,kebab,18,delete-user,delete-user,3.937,True
load file,kebab,18,load-file,load-file,4.576,True
delete user,camelCase,18,deleteUser,deleteUser,4.976,True
search item,camelCase,18,searchItem,searchItem,8.812,True
delete user,kebab,18,delete-user,delete-user,5.207,True
load file,kebab,18,load-file,load-file,2.426,True
add item,kebab,19,add-item,add-item,3.961,True
load file,camelCase,19,loadFile,loadFile,3.675,True
send email,kebab,19,send-email,send-email,3.857,True
update record,camelCase,19,updateRecord,updateRecord,2.288,True
play video,camelCase,19,playVideo,playVideo,3.557,True
search item,kebab,19,search-item,search-item,3.748,True
play video,kebab,19,play-video,play-video,2.928,True
add item,camelCase,19,addItem,addItem,3.106,True
calculate sum,camelCase,19,calculateSum,calculateSum,3.165,True
find user,camelCase,19,findUser,findUser,2.867,True
send email,camelCase,19,sendEmail,sendEmail,2.234,True
calculate sum,kebab,19,calculate-sum,calculate-sum,3.146,True
find user,kebab,19,find-user,find-user,2.637,True
find user,camelCase,19,findUser,findUser,2.347,True
create account,camelCase,19,createAccount,createAccount,3.460,True
update record,kebab,19,update-record,update-record,5.548,True
delete user,kebab,19,delete-user,delete-user,3.565,True
load file,kebab,19,load-file,load-file,3.496,True
delete user,camelCase,19,deleteUser,deleteUser,4.225,True
search item,camelCase,19,searchItem,searchItem,4.154,True
delete user,kebab,19,delete-user,delete-user,3.024,True
load file,kebab,19,load-file,load-file,2.746,True
add item,kebab,20,add-item,add-item,7.896,True
load file,camelCase,20,loadFile,loadFile,12.429,True
send email,kebab,20,send-email,send-email,4.066,True
